programa_propio,generica_sies,area_sies,nivel_condicion,isced_amplio_cod,isced_amplio,isced_estrecho_cod,isced_estrecho,isced_detallado_cod,isced_detallado,dist_niveles_sies,n_programas_sies_2026
Técnico en Comunicación Audiovisual,Técnico en Comunicación Audiovisual,Arte y Arquitectura,tecnico,02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production,tecnico 100.0%,29.0
Técnico en Construcción y Obras Civiles,Técnico en Construcción y Obras Civiles,Tecnología,tecnico,07,"Engineering, manufacturing and construction",073,Architecture and construction,0732,Building and civil engineering,tecnico 100.0%,358.0
Técnico en Contabilidad General,Técnico en Contabilidad General,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0411,Accounting and taxation,tecnico 100.0%,270.0
"Técnico en Deporte, Recreación y Preparación Física","Técnico en Deporte, Recreación y Preparación Física",Educación,tecnico,10,Services,101,Personal services,1014,Sports,tecnico 100.0%,194.0
Técnico en Dibujo Técnico,Técnico en Dibujo Técnico,Tecnología,tecnico,07,"Engineering, manufacturing and construction",073,Architecture and construction,0732,Building and civil engineering,tecnico 100.0%,9.0
Técnico en Diseño Gráfico,Técnico en Diseño Gráfico,Arte y Arquitectura,tecnico,02,Arts and humanities,021,Arts,0212,"Fashion, interior and industrial design",tecnico 100.0%,153.0
Técnico en Diseño Industrial,Técnico en Diseño Industrial,Tecnología,tecnico,02,Arts and humanities,021,Arts,0212,"Fashion, interior and industrial design",tecnico 100.0%,9.0
Técnico en Electricidad y Electricidad Industrial,Técnico en Electricidad y Electricidad Industrial,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0713,Electricity and energy,tecnico 100.0%,423.0
Técnico en Electromecánica,Técnico en Electromecánica,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0714,Electronics and automation,tecnico 100.0%,105.0
Técnico en Electrónica y Electrónica Industrial,Técnico en Electrónica y Electrónica Industrial,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0714,Electronics and automation,tecnico 100.0%,31.0
Técnico en Enfermería,Técnico en Enfermería,Salud,tecnico,09,Health and welfare,091,Health,0913,Nursing and midwifery,tecnico 100.0%,663.0
Técnico en Farmacia,Técnico en Farmacia,Salud,tecnico,09,Health and welfare,091,Health,0916,Pharmacy,tecnico 100.0%,91.0
Técnico en Gastronomía y Cocina,Técnico en Gastronomía y Cocina,Administración y Comercio,tecnico,10,Services,101,Personal services,1013,"Hotel, restaurants and catering",tecnico 100.0%,213.0
Técnico en Geología,Técnico en Geología,Ciencias Básicas,tecnico,05,"Natural sciences, mathematics and statistics",053,Physical sciences,0532,Earth sciences,tecnico 100.0%,10.0
Técnico en Geominería,Técnico en Geominería,Ciencias Básicas,tecnico,07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0724,Mining and extraction,tecnico 100.0%,11.0
Técnico en Gestión Cultural,Otros Técnicos de Arte y Arquitectura,Arte y Arquitectura,tecnico,03,"Social sciences, journalism and information",032,Journalism and information,0322,"Library, information and archival studies",,
Técnico en Gestión y Control de Calidad,Técnico en Gestión y Control de Calidad,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0413,Management and administration,tecnico 100.0%,13.0
Técnico en Industria Forestal o de la Madera,Técnico en Industria Forestal o de la Madera,Tecnología,tecnico,07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0722,"Materials (glass, paper, plastic and wood)",,
"Técnico en Instrumentación, Automatización y Control Industrial","Técnico en Instrumentación, Automatización y Control Industrial",Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0714,Electronics and automation,tecnico 100.0%,218.0
Técnico en Laboratorio Clínico,Técnico en Laboratorio Clínico,Salud,tecnico,09,Health and welfare,091,Health,0914,Medical diagnostic and treatment technology,tecnico 100.0%,38.0
